ID mark frame,Video,QID,Language Query,Type,IDs,Start,End,Revision
47,75a8cadb,,Elephant is standing with his master and watching the race,M,13,44,50,
,71d35513,,Ship is coming towards the camera,M,1,1,33,
1,71d35513,,Ship is coming towards the camera,M,2,1,33,
,71d35513,,Ship is coming towards the camera,M,3,1,33,
,71d35513,,Ship is going towards the right side,M,4,1,33,
,68d9fb6a,,Duck is going towards the left side,M,1,12,36,
,68d9fb6a,,Duck is going towards the left side,M,2,12,36,
1,68d9fb6a,,Duck is going towards the left side,M,3,12,36,
,68d9fb6a,,Duck is going towards the left side,M,4,12,36,
,68d9fb6a,,Duck is going towards the left side,M,5,12,36,
,68d9fb6a,,Duck is going towards the left side,M,6,12,36,
,48cd08af,,Bird is flying towards the right and then perching on top of another bird.,M,2,4,12,
1,48cd08af,,Bird is going outside of the frame in bottom side by flying,M,1,28,30,
,44a4d836,,Turtle is swimming towards left side,M,1,1,21,
8,44a4d836,,Turtle is swimming towards right side,M,2,2,36,
,39f0d139,,Tiger is walking towards the right side,M,1,1,12,
,39f0d139,,Tiger is walking towards the right side,M,4,1,48,
27,39f0d139,,Tiger is walking towards the right side,M,3,23,48,
,39f0d139,,Tiger is lying on the ground,M,5,33,48,
,39f0d139,,Tiger is keeping its front legs on top of another tiger,M,2,25,32,
17,35dff164,,Airplane on the runway is going towards left side,M,1,1,27,
17,35dff164,,Airplane on the runway is stationary and remains in the same position,M,2,1,19,
17,35dff164,,Airplane on the runway is stationary and remains in the same position,M,3,16,27,
17,35dff164,,Airplane on the runway is stationary and remains in the same position,M,4,14,26,
27,35dff164,,Airplane on the runway is stationary and remains in the same position,M,6,22,27,
27,35dff164,,Airplane on the runway is stationary and remains in the same position,M,5,26,27,
,15e09c8c,,Bunny is going from the middle of the bunnies to the left of the bunnies,M,2,15,22,
1,15e09c8c,,Bunny is going from the lef of the bunnies to the middle of the bunnies,M,1,15,22,
,15e09c8c,,Bunny is looking towards the camera,M,3,30,32,
,012b09a0,,Monkey is sniffing another monkey,M,5,29,38,
,012b09a0,,Monkey is pushing another monkey,M,4,49,50,
28,012b09a0,,Monkey is being pushed another monkey,M,3,49,50,
,012b09a0,,Monkey is being dragged by another monkey,M,2,57,59,
,012b09a0,,Monkey is stationary and remains in the same position,M,1,1,70,
6,9ed568e9,,Person on bike is circling around another bike,M,3,5,59,Object goes out of frame several times
58,9ed568e9,,Person on bike is circling around another bike,M,5,39,72,
6,9ed568e9,,Bike is circling around another bike,M,4,5,59,Object goes out of frame several times
58,9ed568e9,,Bike is circling around another bike,M,6,39,72,
6,9ed568e9,,Person is getting off the bike,M,1,10,25,
6,9ed568e9,,Bike is stationary and remains in the same place,M,2,1,72,
,9b318a9c,,Giraffe is lifting another giraffe's back leg with its head,M,2,5,24,
1,9b318a9c,,Giraffe's back leg is being lifted by another giraffe,M,1,5,24,
,7a8cfc91,,Person is moving the bike towards the left side,M,1,1,14,
,7a8cfc91,,Bike is being moved towards the left side by a person,M,2,1,14,
20,7a8cfc91,,Bike is stationary and remains in the same place,M,3,1,42,
,7a8cfc91,,Person on bike is going from right side to left side,M,4,18,28,
,7a8cfc91,,Bike is going from right side to left side,M,5,17,29,
,6c88a53b,,Giraffe is attacking another giraffe,M,2,8,29,
35,6c88a53b,,Giraffe is attacking another giraffe,M,1,43,49,
,6a47103e,,Zebra is going towards right side,M,2,20,35,
1,6a47103e,,Zebra facing to the left side is turing towards the opposite of the camera,M,1,19,29,
,6a47103e,,Zebra facing to the camera is turing towards the left side,M,3,1,14,
,06eb2803,,Goat is keeping its front legs on the back of another goat,M,1,17,30,
,06eb2803,,Goat is looking for something on the ground,M,2,53,60,
1,06eb2803,,Person is going towards the goats,M,3,38,60,
,06eb2803,,Person is stationary and remains in the same position,M,4,1,60,
,06eb2803,,Person is stationary and remains in the same position,M,5,1,60,
,4d6a99ec,,Monkey is getting down to ground from the back of another monkey,M,1,1,7,
34,4d6a99ec,,Monkey is keeping its right hand on the left shoulder of another monkey,M,2,17,45,
,4d6a99ec,,Monkey is inspecting the front side of another monkey's body with its hand.,M,3,42,45,
,3d8b1ee0,,Lizard is fighting with another lizard,M,1,1,15,
1,3d8b1ee0,,Lizard is fighting with another lizard,M,2,1,15,
,3c5e3be8,,Elephant is walking towards the right side,M,2,1,36,
,3c5e3be8,,Elephant is walking towards the right side,M,3,1,36,
22,3c5e3be8,,Elephant is walking towards the left side,M,4,1,24,
,3c5e3be8,,Elephant is walking towards the camera,M,1,1,15,
,3c4f150c,,Bird is going from the bottom of the cage to bird perch stand,M,1,34,35,
1,3c4f150c,,Bird is going from the bottom of the cage to bird perch stand,M,2,86,87,
,3c4f150c,,Bird is going from the bottom of the cage to bird perch stand,M,1,131,132,
,2d802cb8,,Cat is going from right to left side,M,1,38,49,
1,2d802cb8,,Cat is stationary and remains in the same position,M,2,1,50,
,2d0f3000,,Bird fighting with another bird,M,1,28,68,
,2d0f3000,,Bird fighting with another bird,M,2,28,68,
,2d0f3000,,Bird fighting with another bird,M,1,77,92,
1,2d0f3000,,Bird fighting with another bird,M,2,77,92,
,2d0f3000,,Bird fighting with another bird,M,1,101,121,
,2d0f3000,,Bird fighting with another bird,M,2,101,121,
,2cc7839e,,Cow is eating food from food container,M,1,33,72,Object goes out of frames (36-39)
23,2cc7839e,,Cow is eating food from food container,M,4,10,41,
,2cc7839e,,Cow is walking backwards,M,2,55,72,
,2cc7839e,,Cow is sniffing on the food container,M,3,63,68,
,2ca20519,,Yacht is going towards the right side,M,1,1,45,
1,2ca20519,,Yacht is going towards the left side,M,2,1,45,
,2ca20519,,Yacht is going towards the left side,M,3,1,45,
1,0d0030a7,,Zebra is eating grass in the field,M,1,1,15,
1,0d0030a7,,Zebra is eating grass in the field,M,2,1,21,
1,0d0030a7,,Zebra is eating grass in the field,M,3,1,24,
1,0d0030a7,,Zebra is eating grass in the field,M,5,1,48,
1,0d0030a7,,Zebra is keeping its front legs on the back of another zebra,M,4,51,126,
94,0d0030a7,,Zebra is looking towards the camera,M,6,85,114,
,2a19d8a2,,Sheep is walking towards the opposite of the camera,M,1,48,85,
69,2a19d8a2,,Sheep is walking towards the opposite of the camera,M,2,53,85,
,2a19d8a2,,Sheep is walking towards the opposite of the camera,M,3,53,85,
,2a19d8a2,,Sheep is walking towards the opposite of the camera,M,4,77,85,
,2ab06287,,Dog is asserting dominance in the fight with another dog.,M,1,1,96,
33,2ab06287,,Dog is being dominated during the fight with another dog.,M,2,1,96,
,2b6e117d,,Giraffe standing near the fence is going towards the right side,M,2,1,30,
1,2b6e117d,,Giraffe standing near the fence is going towards the right side,M,3,1,30,
,2b6e117d,,Giraffe standing near the fence is eating leaves,M,1,1,30,
,2b6e117d,,Person is looking to the giraffe,M,4,27,30,Only one person
,2b827e3a,,Person on bike is jumping,M,5,14,19,
,2b827e3a,,Person on bike is jumping,M,3,17,20,
,2b827e3a,,Person on bike is jumping,M,7,17,22,
,2b827e3a,,Person on bike is jumping,M,1,19,22,
21,2b827e3a,,Person on bike is jumping,M,9,22,26,
,2b827e3a,,Bike is jumping,M,6,14,19,
,2b827e3a,,Bike is jumping,M,4,17,20,
,2b827e3a,,Bike is jumping,M,8,17,22,
,2b827e3a,,Bike is jumping,M,2,19,22,
,2b827e3a,,Bike is jumping,M,10,22,26,
,2b84174e,,Dog is fighting with another dog,M,1,1,30,
,2b84174e,,Dog is fighting with another dog,M,2,1,30,
13,2b84174e,,Dog is abstaining from participating in the fighting,M,3,1,30,
,2b84174e,,Dog is abstaining from participating in the fighting,M,4,1,30,
,2b84174e,,Dog is abstaining from participating in the fighting,M,5,1,17,
,2b84174e,,Dog is abstaining from participating in the fighting,M,6,1,16,
,2c22cd4e,,Cat is fighting with another cat,M,1,1,92,
1,2c22cd4e,,Cat is fighting with another cat,M,2,97,102,
,2c22cd4e,,Cat is fighting with another cat,M,2,1,92,
,2c22cd4e,,Cat is fighting with another cat,M,3,97,102,
,8b935b9f,,Bear is fighting with another bear,M,1,1,60,
1,8b935b9f,,Bear is fighting with another bear,M,2,1,60,
1,2a02f752,,Fish is going towards the right side,M,1,1,19,
1,2a02f752,,Fish is going towards the right side,M,2,1,25,
1,2a02f752,,Fish is going towards the right side,M,3,1,25,
1,2a02f752,,Fish in the water is going outside of the frame in bottom side,M,4,1,25,
1,2a02f752,,Fish in the water is going outside of the frame in left side,M,5,1,20,
27,2a02f752,,Fish entering into frame in right side is going towards the left side,M,6,19,36,
,2bd72d60,,Bird is going from the bottom of the cage to bird perch stand,M,4,13,15,
,2bd72d60,,Bird is making right turn,M,2,12,21,
1,2bd72d60,,Bird seated on the bird perch stand moves to right side briefly,M,3,1,6,
,2bd72d60,,Bird on the bottom of the cage is stationary and remains in the same position all times,M,1,1,30,
,2bd72d60,,Bird seated on bird perch stand is stationary and remains in the same position all times,M,5,1,30,
,3d04522a,,Duck is eating something from ground,M,10,1,95,
,3d04522a,,Duck is eating something from ground,M,12,1,95,
,3d04522a,,Duck is eating something from ground,M,2,15,17,
,3d04522a,,Duck is eating something from ground,M,2,33,89,
,3d04522a,,Duck is eating something from ground,M,7,81,87,
,3d04522a,,Duck is eating something from ground,M,1,4,8,
,3d04522a,,Duck is eating something from ground,M,1,24,26,
1,3d04522a,,Duck is eating something from ground,M,1,54,56,
,3d04522a,,Duck is eating something from ground,M,1,70,73,
,3d04522a,,Duck is eating something from ground,M,3,19,21,
,3d04522a,,Duck is eating something from ground,M,3,40,42,
,3d04522a,,Duck is eating something from ground,M,3,49,51,
,3d04522a,,Duck is eating something from ground,M,6,27,30,
,3d04522a,,Duck is eating something from ground,M,6,41,43,
,3d04522a,,Duck abstain from eating food from ground,M,11,1,29,
78,3d04522a,,Duck abstain from eating food from ground,M,13,72,86,
,3d04522a,,Duck abstain from eating food from ground,M,9,56,90,
,3d04522a,,Duck abstain from eating food from ground,M,8,23,95,
,3d04522a,,Duck abstain from eating food from ground,M,4,1,47,
,7e52df6a,,Panda is eating food from food container,M,1,1,36,
,7e52df6a,,Panda is eating food from food container,M,2,1,36,
13,7e52df6a,,Panda is eating food from food container,M,3,8,36,
,7e52df6a,,Panda is eating food from food container,M,4,8,31,
,7e52df6a,,Panda is eating food from food container,M,5,17,19,
1,257cca89,,Monkey is stationary and remains in the same position all times,M,1,1,30,
1,257cca89,,Monkey is stationary and remains in the same position all times,M,2,1,30,
1,257cca89,,Monkey is stationary and remains in the same position all times,M,4,1,30,
1,257cca89,,Monkey is going outside of the frame in right side,M,3,1,10,
20,257cca89,,Monkey is going outside of the frame in right side,M,5,20,25,
20,257cca89,,Monkey is going outside of the frame in right side,M,6,20,24,
20,257cca89,,Monkey entering into frame from left side is sitting on a stone,M,7,13,20,
30,257cca89,,Monkey entering into frame from left,M,8,29,30,
1,429d96d4,,Turtle is getting on the back of another turtle,M,2,20,30,
1,429d96d4,,Turtle is carrying another turtle on its back,M,1,20,30,
1,429d96d4,,Turtle is eating something in water,M,3,42,58,
1,429d96d4,,Turtle is eating something in water,M,3,72,73,
36,429d96d4,,Turtle is eating something in water,M,6,55,58,
36,429d96d4,,Turtle is eating something in water,M,7,23,55,
36,429d96d4,,Turtle is eating something in water,M,8,57,60,
,567bfc5a,,Cat is watching at something,M,1,1,52,
,567bfc5a,,Cat is watching at something,M,2,1,52,
1,567bfc5a,,Cat is watching at something,M,3,1,52,
,567bfc5a,,Cat is stationary and remains in the same position all times,M,4,1,52,
,5251dbb9,,Bird is touching another bird's mouth with its beak,M,1,6,8,
,5251dbb9,,Bird is touching another bird's mouth with its beak,M,1,15,18,
,5251dbb9,,Bird is touching another bird's mouth with its beak,M,1,22,23,
1,5251dbb9,,Bird is touching another bird's mouth with its beak,M,2,15,18,
,5251dbb9,,Bird is touching another bird's mouth with its beak,M,3,6,8,
,5251dbb9,,Bird is touching another bird's mouth with its beak,M,4,22,23,
30,5251dbb9,,Bird is brought into frame by a person's hand,M,5,28,30,
,2112a80d,,Goat is looking towards the camera,M,1,1,52,
,2112a80d,,Goat is looking towards the camera,M,2,30,36,
22,2112a80d,,Goat is sniffing on the wall,M,3,19,23,
,2112a80d,,Goat is sniffing on the wall,M,4,19,29,
,2112a80d,,Goat is looking right side while keeping its backside towards the camera,M,5,20,35,
,2112a80d,,Goat from the right side is going at the back of other goats,M,6,1,48,
1,6073aa21,,Person on bike is going outside of the frame in right side,M,1,1,4,
1,6073aa21,,Person on bike is going outside of the frame in right side,M,3,1,14,
1,6073aa21,,Bike is going outside of the frame in right side,M,2,1,5,
1,6073aa21,,Bike is going outside of the frame in right side,M,4,1,14,
1,6073aa21,,Vehicle is going outside of the frame in right side,M,5,1,11,
1,6073aa21,,Vehicle is stationary and remains in the same position all times,M,6,1,31,
10,6073aa21,,Person on bike is going from right towards the left side,M,7,1,13,
10,6073aa21,,Bike is going from right towards the left side,M,8,1,12,
10,6073aa21,,Person on bike coming from right side is going outside of the frame in left side,M,9,1,22,
10,6073aa21,,Bike coming from right side is going outside of the frame in left side,M,10,5,22,
21,6073aa21,,Person on bike entering into frame from left side is going outside of the frame in right side,M,11,7,23,
21,6073aa21,,Bike entering into frame from left side is going outside of the frame in right side,M,12,8,23,
21,6073aa21,,Person on bike entering into frame from left side is going towards the right side,M,13,9,31,
21,6073aa21,,Bike entering into frame from left side is going towards the right side,M,14,8,31,
21,6073aa21,,Vehicle entering into frame from left side is going towards the right side,M,15,13,31,
21,6073aa21,,Vehicle entering into frame from right side is going towards the left side,M,16,15,31,
10,6073aa21,,Person on bike entering into frame from left side is going towards the right side,M,17,3,16,
10,6073aa21,,Bike entering into frame from left side is going towards the right side,M,18,2,15,
,505ed57c,,Goat is peeking over the wall,M,1,17,64,
,505ed57c,,Goat is peeking over the wall,M,1,73,104,
1,505ed57c,,Goat is peeking over the wall,M,2,20,57,
,505ed57c,,Goat is peeking over the wall,M,4,100,111,
,505ed57c,,Goat abstains from peeking over the wall,M,3,1,111,
,435d99e0,,Person on bicycle is making a slight right turn,M,1,11,15,
,435d99e0,,Person on bicycle is making a slight right turn,M,3,8,11,
,435d99e0,,Person on bicycle is making a slight right turn,M,1,24,28,
,435d99e0,,Person on bicycle is making a slight right turn,M,3,22,24,
,435d99e0,,Person on bicycle is making a slight right turn,M,1,36,39,
,435d99e0,,Person on bicycle is making a slight right turn,M,3,32,36,
1,435d99e0,,Bicycle is making a slight right turn,M,2,11,15,
,435d99e0,,Bicycle is making a slight right turn,M,4,8,11,
,435d99e0,,Bicycle is making a slight right turn,M,2,24,28,
,435d99e0,,Bicycle is making a slight right turn,M,4,22,24,
,435d99e0,,Bicycle is making a slight right turn,M,2,36,39,
,435d99e0,,Bicycle is making a slight right turn,M,4,32,36,
,4d63d7df,,Fish is swimming in the aquarium,M,1,1,60,
,4d63d7df,,Fish is swimming in the aquarium,M,2,1,60,
36,4d63d7df,,Fish is swimming in the aquarium,M,3,1,60,
,4d63d7df,,Fish is swimming in the aquarium,M,4,1,60,
,4d63d7df,,Fish is swimming in the aquarium,M,5,1,60,
,6a6547d7,,Rabbit is playing with another rabbit,M,1,1,54,
7,6a6547d7,,Rabbit is playing with another rabbit,M,2,1,54,
,15e281a9,,Bird is flying in the sky,M,1,1,30,
,15e281a9,,Bird is flying in the sky,M,2,1,30,
,15e281a9,,Bird is flying in the sky,M,3,1,30,
6,15e281a9,,Bird is flying in the sky,M,4,1,30,
,15e281a9,,Bird is flying in the sky,M,5,1,30,
,15e281a9,,Bird is flying in the sky,M,6,1,30,
,15e281a9,,Bird is flying in the sky,M,7,1,30,
,15e281a9,,Bird is flying in the sky,M,8,1,30,
